"suburb","dwelling_type","bedrooms","month_year","rent","data_updated"
"Algester","All Dwellings","",2022-09-01,490,2024-05-16 06:01:35.818054
"Algester","All Dwellings","",2022-12-01,530,2024-05-16 06:01:35.818054
"Algester","All Dwellings","",2023-03-01,510,2024-05-16 06:01:35.818054
"Algester","All Dwellings","",2023-06-01,550,2024-05-16 06:01:35.818054
"Algester","All Dwellings","",2023-09-01,550,2024-05-16 06:01:35.818054
"Algester","All Dwellings","",2023-12-01,570,2024-05-16 06:01:35.818054
"Algester","All Dwellings","",2024-03-01,590,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2017-09-01,275,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2017-12-01,275,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2018-03-01,280,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2018-06-01,270,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2018-09-01,280,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2018-12-01,275,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2019-03-01,285,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2019-06-01,285,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2019-09-01,270,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2019-12-01,290,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2020-03-01,295,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2020-06-01,280,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2020-09-01,260,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2020-12-01,290,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2021-03-01,290,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2021-06-01,291,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2021-09-01,300,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2021-12-01,300,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2022-03-01,320,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2022-06-01,310,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2022-09-01,335,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2022-12-01,350,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2023-03-01,360,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2023-06-01,350,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2023-09-01,360,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2023-12-01,400,2024-05-16 06:01:35.818054
"Annerley","Flat","1",2024-03-01,410,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2017-09-01,340,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2017-12-01,330,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2018-03-01,345,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2018-06-01,320,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2018-09-01,365,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2018-12-01,336,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2019-03-01,350,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2019-06-01,350,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2019-09-01,350,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2019-12-01,340,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2020-03-01,350,2024-05-16 06:01:35.818054
"Annerley","Flat","2",2020-06-01,335,2024-05-16 06:01:35.818054
